service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20U-H50U000S-91-SV,0,0,0,0,1,0,0,20200615,20200710
20U-H54U000S-11-S,1,1,1,1,1,0,0,20200615,20200821
20U-H55U000S-84-S,1,1,1,1,1,0,0,20200615,20200821
20U-H55U000S-84-SV,0,0,0,0,1,0,0,20200615,20200821
20U-H56U000S-86-S,1,1,1,1,1,0,0,20200615,20200821
20U-H56U000S-86-SV,0,0,0,0,1,0,0,20200615,20200821
20U-H57U000S-11-S,1,1,1,1,1,0,0,20200615,20200821
20U-H58U000S-88-S,1,1,1,1,1,0,0,20200615,20200821
20U-H59U000S-84-S,1,1,1,1,1,0,0,20200615,20200821
20U-H59U000S-84-SV,0,0,0,0,1,0,0,20200615,20200821
20U-H60U000S-05-S,1,1,1,1,1,0,0,20200615,20200821
20U-H62U000S-05-S,1,1,1,1,1,0,0,20200615,20200821
20U-GLOBAUX-10-S,1,1,1,1,1,0,0,20200615,20200821
20U-H50U000A-90-A,0,0,0,0,0,1,0,20200620,20200711
20U-H54U000A-11-A,0,0,0,0,0,1,0,20200620,20200822
20U-H55U000A-88-A,0,0,0,0,0,1,0,20200620,20200822
20U-H56U000A-02-A,0,0,0,0,0,1,0,20200620,20200822
20U-H57U000A-11-A,0,0,0,0,0,1,0,20200620,20200822
20U-H58U000A-10-A,0,0,0,0,0,1,0,20200620,20200822
20U-H59U000A-83-A,0,0,0,0,0,1,0,20200620,20200822
20U-H60U000A-04-A,0,0,0,0,0,1,0,20200620,20200822
20U-H62U000A-05-A,0,0,0,0,0,1,0,20200620,20200822
20U-GLOBAUX-20-A,0,0,0,0,0,1,0,20200620,20200822
20U-H50U000I-90-I,0,0,0,0,0,0,1,20200621,20200712
20U-H54U000I-11-I,0,0,0,0,0,0,1,20200621,20200823
20U-H55U000I-88-I,0,0,0,0,0,0,1,20200621,20200823
20U-H56U000I-02-I,0,0,0,0,0,0,1,20200621,20200823
20U-H57U000I-11-I,0,0,0,0,0,0,1,20200621,20200823
20U-H58U000I-10-I,0,0,0,0,0,0,1,20200621,20200823
20U-H59U000I-84-I,0,0,0,0,0,0,1,20200621,20200823
20U-H60U000I-04-I,0,0,0,0,0,0,1,20200621,20200823
20U-H62U000I-05-I,0,0,0,0,0,0,1,20200621,20200823
20U-GLOBAUX-20-I,0,0,0,0,0,0,1,20200621,20200823
20U-H50U100F-03-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H54U100F-00-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H55U100F-01-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H56U100F-00-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H57U100F-02-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H58U100F-03-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H59U100F-01-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H60U100F-01-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H62U100F-00-F1,0,0,1,0,0,0,0,20200624,20200624
20U-GLOBAUX-20-F1,0,0,1,0,0,0,0,20200624,20200624
20U-H50U200F-03-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H54U200F-00-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H55U200F-01-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H56U200F-00-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H57U200F-03-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H58U200F-00-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H59U200F-00-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H60U200F-03-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H62U200F-01-F2,0,0,1,0,0,0,0,20200701,20200701
20U-GLOBAUX-20-F2,0,0,1,0,0,0,0,20200701,20200701
20U-H50U000S-94-S,1,1,1,1,1,0,0,20200713,20200821
20U-H50U000S-94-SV,0,0,0,0,1,0,0,20200713,20200821
20U-H50U000A-93-A,0,0,0,0,0,1,0,20200718,20200822
20U-H50U000I-93-I,0,0,0,0,0,0,1,20200719,20200823
